Start|End|Speaker
00:00:00.030|00:00:14.813|1
00:00:16.737|00:00:39.315|1
00:00:39.974|00:00:40.598|2
00:00:41.644|00:00:54.334|1
00:00:54.705|00:00:57.254|2
00:00:58.384|00:01:00.392|1
00:01:00.747|00:01:01.202|2
00:01:03.143|00:01:04.965|1
00:01:05.286|00:02:54.839|2
00:02:57.336|00:03:00.509|2
00:03:00.509|00:03:19.155|1
00:03:19.645|00:04:04.499|2
00:04:04.499|00:04:30.300|1
00:04:31.060|00:04:37.253|2
00:04:38.080|00:04:38.434|1
00:04:38.654|00:05:00.034|2
00:05:01.097|00:05:01.654|1
00:05:02.076|00:05:05.299|2
00:05:06.396|00:05:19.609|1
00:05:20.149|00:06:50.768|2
00:06:50.987|00:06:51.409|1
00:06:51.477|00:06:55.257|2
00:06:55.561|00:06:55.712|1
00:06:56.354|00:07:04.234|2
00:07:04.572|00:07:04.859|1
00:07:05.483|00:08:14.046|2
00:08:14.215|00:08:21.471|1
00:08:21.876|00:08:32.676|2
00:08:33.368|00:08:33.705|1
00:08:34.195|00:08:34.887|2
00:08:34.887|00:08:35.393|1
00:08:36.085|00:08:36.861|2
00:08:36.861|00:08:39.342|1
00:08:40.017|00:08:56.014|2
00:08:56.774|00:08:57.077|1
00:08:57.330|00:09:30.304|2
00:09:31.350|00:09:46.082|1
00:09:46.032|00:10:05.624|2
00:10:06.012|00:10:14.010|1
00:10:14.061|00:10:14.314|2
00:10:14.753|00:10:32.708|1
00:10:32.708|00:10:35.779|2
00:10:35.779|00:10:38.226|1
00:10:39.795|00:11:06.728|1
00:11:07.302|00:11:24.126|2
00:11:24.362|00:11:25.577|1
00:11:26.033|00:11:29.762|2
00:11:29.779|00:11:40.697|1
00:11:42.199|00:12:03.360|2
00:12:03.360|00:12:04.052|1
00:12:04.052|00:12:09.385|2
00:12:09.385|00:12:31.339|1
00:12:34.056|00:12:36.503|2
00:12:37.313|00:13:01.107|1
00:13:01.714|00:13:11.890|2
00:13:12.734|00:13:13.020|1
00:13:13.020|00:13:13.982|2
00:13:16.699|00:13:20.597|1
00:13:23.669|00:13:26.099|2
00:13:26.942|00:13:27.330|1
00:13:27.769|00:13:28.410|2
00:13:28.410|00:13:36.966|1
00:13:40.712|00:13:44.880|2
00:13:44.880|00:14:04.101|1
00:14:04.557|00:14:04.827|2
00:14:04.877|00:14:14.057|1
00:14:15.272|00:14:36.822|2
00:14:36.822|00:14:38.830|1
00:14:39.201|00:15:46.937|2
00:15:47.241|00:15:47.967|1
00:15:49.182|00:16:36.955|2
00:16:37.731|00:16:40.296|1
00:16:40.600|00:16:40.937|2
00:16:41.275|00:16:48.177|1
00:16:48.565|00:17:02.166|2
00:17:02.757|00:17:03.010|1
