Threshold: 0,60
Start|End|Speaker
00:00:00.030|00:00:32.633|0
00:00:32.920|00:00:33.240|2
00:00:33.696|00:00:45.559|0
00:00:46.251|00:00:47.365|0
00:00:47.736|00:00:48.057|4
00:00:49.339|00:01:03.970|0
00:01:03.970|00:01:06.231|8
00:01:06.231|00:01:08.661|7
00:01:10.399|00:01:10.973|8
00:01:10.737|00:01:12.053|10
00:01:11.834|00:01:12.795|9
00:01:12.795|00:01:13.757|12
00:01:13.791|00:01:15.630|10
00:01:13.808|00:01:14.500|0
00:01:13.825|00:01:14.601|9
00:01:14.230|00:01:15.327|13
00:01:15.023|00:01:15.360|12
00:01:16.356|00:01:30.025|0
00:01:30.160|00:06:51.966|16
00:06:51.966|00:06:58.615|23
00:06:59.459|00:07:06.968|25
00:07:06.968|00:08:34.195|27
00:08:34.195|00:08:34.617|9
00:08:35.359|00:08:36.034|29
00:08:36.034|00:08:37.924|9
00:08:39.780|00:08:42.312|32
00:08:43.628|00:08:50.024|33
00:08:50.024|00:08:50.580|16
00:08:51.509|00:10:50.815|16
00:10:53.447|00:10:58.139|29
00:10:59.843|00:11:05.024|42
00:11:05.024|00:12:02.837|16
00:12:07.174|00:12:11.359|29
00:12:13.502|00:12:15.038|44
00:12:15.038|00:13:14.843|16
00:13:16.885|00:13:29.693|0
00:13:30.199|00:13:30.503|49
00:13:31.380|00:13:33.034|49
00:13:33.034|00:14:10.969|27
00:14:10.969|00:14:15.036|30
00:14:15.036|00:14:42.644|0
00:14:44.702|00:15:08.108|27
00:14:44.719|00:14:45.023|56
00:15:09.947|00:15:13.795|46
00:15:15.887|00:15:23.161|25
00:15:24.915|00:15:30.383|46
00:15:30.417|00:15:49.806|25
00:15:49.806|00:15:57.974|16
00:15:57.974|00:16:00.741|33
00:16:01.838|00:16:16.283|0
00:16:18.359|00:17:11.296|27
00:17:14.401|00:17:16.037|29
00:17:16.037|00:17:22.973|0
00:17:24.998|00:17:26.145|66
00:17:26.061|00:17:27.529|25
00:17:26.669|00:17:27.107|66
00:17:28.052|00:17:28.964|25
00:17:30.820|00:17:33.419|25
00:17:33.655|00:17:35.039|42
00:17:35.039|00:17:42.767|16
00:17:43.510|00:17:44.067|16
00:17:43.544|00:17:44.117|0
00:17:45.400|00:17:48.859|0
00:17:50.682|00:17:54.664|27
00:17:56.892|00:17:59.288|8
00:18:01.532|00:18:06.038|71
00:18:06.038|00:18:27.638|27
00:18:27.638|00:18:34.962|16
00:18:34.962|00:18:52.022|33
00:18:52.022|00:19:12.374|16
00:19:12.374|00:19:45.331|27
00:19:12.711|00:19:13.116|74
00:19:46.664|00:20:09.968|0
00:20:09.968|00:20:11.520|46
00:20:12.027|00:20:23.401|27
00:20:24.076|00:20:35.719|27
00:20:36.462|00:20:38.031|80
00:20:38.031|00:20:39.567|0
00:20:39.567|00:20:41.052|81
00:20:41.356|00:20:48.966|0
00:20:48.966|00:20:51.599|29
00:20:53.117|00:21:13.975|27
00:21:13.975|00:21:19.223|58
00:21:21.079|00:21:52.585|0
00:21:52.534|00:22:17.037|33
00:22:17.037|00:25:24.687|16
00:25:27.252|00:25:56.986|0
00:25:58.049|00:26:00.293|42
