Start|End|Speaker
00:00:00.119|00:00:14.980|1
00:00:16.604|00:00:20.127|1
00:00:19.827|00:00:29.189|2
00:00:28.889|00:00:39.482|1
00:00:39.857|00:00:40.765|3
00:00:41.528|00:00:48.460|1
00:00:48.160|00:00:48.831|2
00:00:48.531|00:00:49.118|1
00:00:48.818|00:00:54.518|2
00:00:54.589|00:00:57.420|3
00:00:58.251|00:01:00.525|1
00:01:00.630|00:01:01.369|3
00:01:02.942|00:01:23.172|1
00:01:23.564|00:02:50.804|3
00:02:51.179|00:02:55.005|1
00:02:57.203|00:03:19.322|1
00:03:19.512|00:04:04.682|3
00:04:04.382|00:04:09.188|1
00:04:08.888|00:04:21.186|2
00:04:20.886|00:04:30.484|1
00:04:30.927|00:05:00.201|3
00:05:00.964|00:05:01.821|2
00:05:01.943|00:05:05.466|3
00:05:06.280|00:05:19.776|1
00:05:20.033|00:08:13.116|3
00:08:13.694|00:08:21.638|2
00:08:21.760|00:08:32.843|3
00:08:33.235|00:08:33.872|1
00:08:34.079|00:08:35.054|3
00:08:34.754|00:08:39.525|1
00:08:39.884|00:09:30.471|3
00:09:31.234|00:09:43.127|2
00:09:42.827|00:10:18.126|1
00:10:17.826|00:10:33.044|2
00:10:32.693|00:10:33.179|3
00:10:32.879|00:10:33.364|2
00:10:33.334|00:10:35.963|3
00:10:35.663|00:10:38.410|2
00:10:39.662|00:10:52.180|1
00:10:51.880|00:11:03.115|2
00:11:02.815|00:11:06.912|1
00:11:07.169|00:11:29.929|3
00:11:29.646|00:11:40.864|1
00:11:42.066|00:12:08.337|3
00:12:08.492|00:12:08.944|2
00:12:08.644|00:12:09.484|3
00:12:09.184|00:12:11.459|2
00:12:11.159|00:12:12.032|1
00:12:11.732|00:12:13.180|2
00:12:12.812|00:12:31.506|1
00:12:33.923|00:12:36.670|3
00:12:37.180|00:12:37.851|1
00:12:37.551|00:12:39.184|2
00:12:38.884|00:12:56.177|1
00:12:55.877|00:13:01.290|2
00:13:01.581|00:13:12.057|3
00:13:12.617|00:13:13.187|2
00:13:12.887|00:13:14.132|3
00:13:16.583|00:13:20.764|2
00:13:23.535|00:13:26.282|3
00:13:26.826|00:13:27.497|2
00:13:27.636|00:13:28.611|3
00:13:28.277|00:13:31.125|2
00:13:30.825|00:13:37.116|1
00:13:40.596|00:13:45.047|3
00:13:44.747|00:14:00.184|1
00:13:59.884|00:14:06.124|2
00:14:06.887|00:14:14.224|1
00:14:15.139|00:14:36.989|3
00:14:36.689|00:14:39.014|1
00:14:39.085|00:16:37.139|3
00:16:37.598|00:16:40.463|2
00:16:40.484|00:16:41.070|3
00:16:41.159|00:16:48.344|2
00:16:48.449|00:17:08.425|3
00:17:08.851|00:17:19.512|2
00:17:18.824|00:17:38.176|1
00:17:37.876|00:17:41.027|2
00:17:41.183|00:18:05.648|3
00:18:05.584|00:18:07.116|2
00:18:06.901|00:18:14.912|3
